ASIN,Book Title,Amazon Link,Episode Count,Episode Numbers
"B00BSBX9TE","The Thorn Birds","https://www.amazon.in/Thorn-Birds-Colleen-McCullough-ebook/dp/B00BSBX9TE/ref=sr_1_3?keywords=thornbirds",2,"254;254"
"014303653X","Amusing Ourselves to Death","https://www.amazon.in/Amusing-Ourselves-Death-Discourse-Business/dp/014303653X/ref=sr_1_4?keywords=neil+postman",4,"254;254;299;299"
"B0044XV5S0","Brighton Rock","https://www.amazon.in/Brighton-Vintage-Classics-Graham-Greene-ebook/dp/B0044XV5S0/ref=sr_1_1?keywords=brighton+rock",4,"254;254;294;294"
"B00JUS9950","Em and the Big Hoom","https://www.amazon.in/Em-Big-Hoom-Jerry-Pinto-ebook/dp/B00JUS9950/ref=sr_1_3?keywords=em+and+the+big+hoom",4,"254;254;314;314"
"B09MZJW8GK","Far From the Madding Crowd","https://www.amazon.in/Thomas-Hardy-Madding-Crowd-illustrated-ebook/dp/B09MZJW8GK/ref=sr_1_3?keywords=thomas+hardy",2,"254;254"
"B00JR3PQ64","Centrestage: Inside the Narendra Modi model of governance","https://www.amazon.in/Centrestage-Inside-Narendra-model-governance-ebook/dp/B00JR3PQ64/ref=sr_1_5?keywords=uday+mahurkar",2,"254;254"
"B09GPKCF5B","Savarkar","https://www.amazon.in/VEER-SAVARKAR-COULD-PREVENTED-PARTITION-ebook/dp/B09GPKCF5B/ref=sr_1_3?keywords=uday+mahurkar",2,"254;254"
"B0031RS50G","Shalimar the Clown","https://www.amazon.in/gp/product/B0031RS50G/ref=dbs_a_def_rwt_bibl_vppi_i11",2,"254;254"
"B005LMWAMI","Shame","https://www.amazon.in/Shame-Salman-Rushdie-ebook/dp/B005LMWAMI/ref=sr_1_4?keywords=shame",2,"254;254"
"B008KYWJNE","The Ground Beneath Her Feet","https://www.amazon.in/gp/product/B008KYWJNE/ref=dbs_a_def_rwt_bibl_vppi_i4",4,"254;254;314;314"
"B09MZJVBQX","The Return of the Native","https://www.amazon.in/Thomas-Hardy-Return-Native-ebook/dp/B09MZJVBQX/ref=sr_1_8?keywords=thomas+hardy",2,"254;254"
"B09N1R6L96","War and Peace","https://www.amazon.in/War-Peace-Leo-Tolstoy-ebook/dp/B09N1R6L96/ref=sr_1_9?keywords=war+and+peace",2,"254;254"
"019562811X","A House Divided: Origin and Development of Hindi/Urdu","https://www.amazon.in/House-Divided-Origin-Development-Paperbacks/dp/019562811X/ref=sr_1_4?keywords=amrit+rai",4,"255;255;263;263"
"B07QR879FZ","Blue Is Like Blue","https://www.amazon.in/Blue-Like-Stories-V-K-Shukla-ebook/dp/B07QR879FZ/ref=tmm_kin_swatch_0?_encoding=UTF8",2,"255;255"
"B06XYPVDQ2","Collected Stories","https://www.amazon.in/Collected-Stories-Naiyer-Masud-ebook/dp/B06XYPVDQ2/ref=sr_1_2?keywords=naiyer+masud",4,"255;255;292;292"
"B018EL5EAC","East West Street","https://www.amazon.in/East-West-Street-Non-fiction-Book-ebook/dp/B018EL5EAC/ref=sr_1_1?keywords=east+west+street",2,"255;255"
"8171673112","English","https://www.amazon.in/Umrao-Jan-Mirza-Hadi-Ruswa/dp/8171673112/ref=sr_1_6?keywords=umrao+jaan+ada",2,"255;255"
"B00JLLD7TU","H is for Hawk","https://www.amazon.in/H-Hawk-Helen-Macdonald-ebook/dp/B00JLLD7TU/ref=sr_1_1?keywords=h+is+for+hawk",2,"255;255"
"B079MFCZN7","Hindi","https://www.amazon.in/Umrao-Jaan-Hindi-Mirza-Ruswa-ebook/dp/B079MFCZN7/ref=sr_1_3?keywords=umrao+jaan+ada",2,"255;255"
"B01MT8AU4B","Jealousy","https://www.amazon.in/Jealousy-Vintage-Minis-Marcel-Proust-ebook/dp/B01MT8AU4B/ref=sr_1_3?keywords=marcel+proust+jealousy",2,"255;255"
