Episode Number,Episode Title,Episode Date,ASIN,Book Title,Amazon Link,Episode URL
314,"The Life And Times Of Jerry Pinto",2023-01-30,"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2023/1/30/episode-314-the-life-and-times-of-jerry-pinto/"
86,"The State Of Our Farmers",2018-09-16,"8171888429","Down to Earth","https://www.amazon.in/gp/product/8171888429/ref=oh_aui_search_detailpage?ie=UTF8","https://seenunseen.in/episodes/2018/9/16/episode-86-the-state-of-our-farmers/"
140,"Indias Agriculture Crisis",2019-09-29,"8171888429","Down to Earth","https://www.amazon.in/gp/product/8171888429/ref=oh_aui_search_detailpage?ie=UTF8","https://seenunseen.in/episodes/2019/9/29/episode-140-indias-agriculture-crisis/"
264,"Barun Mitra Philosopher And Practitioner",2022-02-14,"8171888429","Down to Earth","https://www.amazon.in/gp/product/8171888429/ref=oh_aui_search_detailpage?ie=UTF8","https://seenunseen.in/episodes/2022/2/14/episode-264-barun-mitra-philosopher-and-practitioner/"
264,"Barun Mitra Philosopher And Practitioner",2022-02-14,"8171888429","Down to Earth","https://www.amazon.in/gp/product/8171888429/ref=oh_aui_search_detailpage?ie=UTF8","https://seenunseen.in/episodes/2022/2/14/episode-264-barun-mitra-philosopher-and-practitioner/"
93,"America In South Asia",2018-11-04,"B07DGG4V9F","Amazon Book Link","https://www.amazon.in/Most-Dangerous-Place-History-United-ebook/dp/B07DGG4V9F/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2018/11/4/episode-93-america-in-south-asia/"
96,"The Evolution Of Everything",2018-11-25,"B003ODI67E","Amazon Book Link","https://www.amazon.in/Rational-Optimist-How-Prosperity-Evolves-ebook/dp/B003ODI67E/ref=sr_1_7_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2018/11/25/episode-96-the-evolution-of-everything/"
96,"The Evolution Of Everything",2018-11-25,"B00S5LDWII","Amazon Book Link","https://www.amazon.in/Evolution-Everything-Small-Changes-Transform-ebook/dp/B00S5LDWII/ref=sr_1_3_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2018/11/25/episode-96-the-evolution-of-everything/"
96,"The Evolution Of Everything",2018-11-25,"B002VNFNY2","Amazon Book Link","https://www.amazon.in/Origins-Virtue-Penguin-Press-Science-ebook/dp/B002VNFNY2/ref=sr_1_6_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2018/11/25/episode-96-the-evolution-of-everything/"
96,"The Evolution Of Everything",2018-11-25,"B06Y6248H5","Amazon Book Link","https://www.amazon.in/Genome-Autobiography-Species-23-Chapters-ebook/dp/B06Y6248H5/ref=tmm_kin_swatch_0?_encoding=UTF8","https://seenunseen.in/episodes/2018/11/25/episode-96-the-evolution-of-everything/"
